seq	kingdom	phylum	class	order	family	genus	species
seq_6553	1.00	1.00	1.00	1.00	1.00	0.99	0.99
seq_6559	1.00	1.00	0.45	0.36	0.21	0.21	0.21
seq_6557	1.00	1.00	0.57	0.36	0.21	0.21	0.05
seq_6558	1.00	0.14	0.09	0.09	0.06	0.01	0.01
seq_6560	1.00	0.95	0.26	0.19	0.12	0.12	0.12
seq_6562	1.00	0.98	0.89	0.11	0.04	0.04	0.04
seq_6561	1.00	0.90	0.31	0.09	0.07	0.05	0.05
seq_6563	1.00	0.31	0.19	0.19	0.19	0.14	0.02
seq_6564	1.00	0.84	0.19	0.11	0.08	0.05	0.05
seq_6566	1.00	0.62	0.11	0.02	0.02	0.02	0.01
seq_6567	1.00	0.98	0.17	0.15	0.02	0.02	0.01
seq_6565	1.00	0.59	0.49	0.11	0.01	0.01	0.01
seq_6569	1.00	1.00	0.32	0.12	0.04	0.04	0.04
seq_6568	1.00	0.75	0.64	0.06	0.02	0.01	0.01
seq_6572	1.00	0.88	0.27	0.06	0.06	0.06	0.06
seq_6571	1.00	1.00	0.01	0.01	0.01	0.01	0.01
seq_6570	1.00	0.75	0.73	0.68	0.46	0.46	0.46
seq_6573	0	NA	NA	NA	NA	NA	NA
seq_6576	1.00	0.34	0.26	0.05	0.04	0.03	0.03
seq_6577	1.00	0.14	0.14	0.05	0.05	0.04	0.04
seq_6578	1.00	0.83	0.33	0.31	0.31	0.16	0.03
seq_6582	1.00	0.67	0.60	0.23	0.04	0.01	0.01
seq_6580	1.00	0.79	0.79	0.26	0.03	0.03	0.03
seq_6583	1.00	1.00	0.80	0.64	0.64	0.64	0.08
seq_6586	1.00	0.86	0.27	0.06	0.05	0.05	0.05
seq_6587	1.00	0.90	0.77	0.70	0.12	0.04	0.01
seq_6588	1.00	0.10	0.04	0.04	0.04	0.04	0.03
seq_6585	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_6590	0	NA	NA	NA	NA	NA	NA
seq_6584	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_6589	1.00	0.58	0.55	0.12	0.04	0.02	0.02
seq_6592	1.00	0.98	0.63	0.57	0.57	0.57	0.57
seq_6591	1.00	0.06	0.03	0.03	0.02	0.02	0.02
seq_6593	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_2108	1.00	0.13	0.11	0.02	0.01	0.01	0.01
seq_2110	1.00	0.21	0.18	0.08	0.01	0.01	0.01
seq_6596	1.00	0.96	0.79	0.48	0.10	0.02	0.02
seq_6595	1.00	0.95	0.94	0.04	0.04	0.02	0.02
seq_6594	1.00	0.38	0.16	0.08	0.01	0.01	0.01
seq_6598	1.00	0.94	0.94	0.24	0.24	0.24	0.20
seq_6600	1.00	0.84	0.20	0.14	0.14	0.12	0.12
seq_6599	1.00	0.64	0.64	0.64	0.64	0.52	0.52
seq_6601	1.00	0.99	0.98	0.98	0.98	0.98	0.98
seq_6603	0	NA	NA	NA	NA	NA	NA
seq_6602	1.00	0.50	0.50	0.23	0.05	0.05	0.02
seq_6604	1.00	0.81	0.28	0.12	0.08	0.08	0.07
seq_6597	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_6606	1.00	0.91	0.73	0.35	0.35	0.22	0.17
seq_6605	1.00	0.79	0.75	0.28	0.20	0.05	0.02
seq_6609	1.00	0.82	0.17	0.06	0.04	0.04	0.04
seq_6607	1.00	0.23	0.15	0.15	0.15	0.15	0.01
seq_6610	1.00	0.89	0.47	0.46	0.38	0.19	0.19
seq_6611	1.00	0.93	0.22	0.05	0.05	0.05	0.05
seq_6613	1.00	0.65	0.57	0.17	0.06	0.01	0.01
seq_6612	1.00	0.97	0.97	0.80	0.51	0.30	0.30
seq_6619	1.00	0.96	0.63	0.34	0.34	0.33	0.33
seq_6614	1.00	0.65	0.65	0.22	0.14	0.14	0.02
seq_6617	1.00	0.77	0.59	0.59	0.59	0.59	0.23
seq_6615	1.00	0.14	0.09	0.09	0.09	0.05	0.01
seq_6620	1.00	0.64	0.58	0.58	0.58	0.58	0.58
seq_6621	1.00	0.69	0.18	0.10	0.07	0.07	0.06
seq_6622	1.00	0.35	0.31	0.14	0.02	0.01	0.01
seq_6629	1.00	0.99	0.52	0.48	0.17	0.04	0.04
seq_6624	1.00	1.00	1.00	1.00	1.00	1.00	0.62
seq_6628	1.00	0.89	0.89	0.31	0.29	0.09	0.04
seq_6630	1.00	0.60	0.60	0.06	0.06	0.06	0.03
seq_6632	1.00	0.98	0.80	0.66	0.44	0.44	0.25
seq_6631	1.00	0.68	0.64	0.25	0.03	0.01	0.01
seq_6633	1.00	0.14	0.14	0.01	0.01	0.01	0.01
seq_6635	1.00	0.82	0.14	0.14	0.05	0.03	0.03
seq_6637	1.00	0.85	0.69	0.17	0.16	0.16	0.11
seq_6634	1.00	0.03	0.03	0.01	0.01	0.01	0.01
seq_6638	1.00	0.98	0.69	0.35	0.35	0.35	0.08
seq_6639	1.00	0.87	0.36	0.11	0.11	0.03	0.02
seq_6640	1.00	0.35	0.35	0.19	0.09	0.09	0.07
seq_6636	1.00	1.00	1.00	1.00	0.97	0.92	0.92
